pollster,numeric_grade,pollscore,transparency_score,candidate_name,pct,date
Marist,2.9,-0.5,8.5,Kamala Harris,45.25,2024-08-04
YouGov,2.9,-0.3,8.4,Donald Trump,45.67,2024-09-14
AtlasIntel,3,-0.4,8.3,Donald Trump,52.25,2024-08-16
McCourtney Institute/YouGov,2.9,-0.2,9.4,Kamala Harris,49.76,2024-07-19
Selzer,3,-1.3,6,Kamala Harris,47.37,2024-07-16
Ipsos,2.9,-0.3,6.3,Donald Trump,46.48,2024-09-27
The Washington Post,3,-0.8,4.9,Kamala Harris,47.44,2024-07-03
Emerson,2.7,-0.3,7.1,Kamala Harris,53.19,2024-09-03
U. North Florida,2.7,-1,9.8,Kamala Harris,54.11,2024-09-06
Ipsos,2.7,-0,7.3,Kamala Harris,45.89,2024-09-23
The Washington Post,2.9,-0.7,6.2,Donald Trump,45.64,2024-07-17
YouGov/Center for Working Class Politics,2.8,-0,6.7,Kamala Harris,45.36,2024-07-24
U. North Florida,2.8,-0.4,9.5,Donald Trump,43.41,2024-08-22
Data Orbital,2.9,-1,6.3,Kamala Harris,48.97,2024-09-02
SurveyUSA/High Point University,3,-1.3,8.4,Kamala Harris,52.97,2024-08-27
Beacon/Shaw,3,-1.4,5.4,Donald Trump,51.13,2024-08-04
YouGov/Center for Working Class Politics,2.9,-0.7,9.5,Donald Trump,47.95,2024-07-08
Marist,2.8,-0.4,6.7,Kamala Harris,52.52,2024-09-28
MassINC Polling Group,2.8,-0.6,9.3,Donald Trump,65.34,2024-07-28
Siena/NYT,2.9,-1.2,5,Donald Trump,36.78,2024-09-08
YouGov Blue,2.9,-0.3,5.7,Kamala Harris,39.88,2024-08-10
Washington Post/George Mason University,2.7,-0.5,4.9,Kamala Harris,50.45,2024-08-21
Siena/NYT,2.8,-1.2,6.7,Donald Trump,55.92,2024-07-16
Marquette Law School,3,-1.3,6.1,Kamala Harris,41.12,2024-08-23
Echelon Insights,2.8,-1.4,5.4,Kamala Harris,50.8,2024-09-11
SurveyUSA,2.8,-0.5,5,Kamala Harris,56.88,2024-07-24
U. North Florida,2.8,-1.2,5.1,Kamala Harris,55.14,2024-08-22
University of Massachusetts Lowell/YouGov,2.7,-1.3,9.9,Donald Trump,51.8,2024-08-03
SurveyUSA,2.9,-0.2,6.2,Kamala Harris,48.26,2024-08-16
McCourtney Institute/YouGov,3,-0,8,Donald Trump,53.1,2024-08-16
MassINC Polling Group,2.9,-0.3,5.5,Kamala Harris,47.9,2024-09-12
YouGov/Center for Working Class Politics,3,-1.2,9,Donald Trump,57.69,2024-07-26
SurveyUSA,2.8,-0.8,9.1,Kamala Harris,46.46,2024-09-13
Ipsos,2.9,-0.2,6.2,Kamala Harris,44.67,2024-09-03
Selzer,3,-1,8.4,Kamala Harris,54.3,2024-07-30
Marist,2.9,-1.2,4.9,Kamala Harris,51.67,2024-07-20
The Washington Post,2.9,-0.6,9,Kamala Harris,57.56,2024-07-04
University of Massachusetts Lowell/YouGov,2.8,-0.5,6.2,Kamala Harris,40.41,2024-09-07
Marquette Law School,3,-1.5,8.8,Kamala Harris,49.21,2024-09-25
YouGov Blue,3,-1,9.3,Kamala Harris,46.65,2024-07-04
Data Orbital,2.9,-0.9,7.5,Donald Trump,49.19,2024-09-01
Emerson,2.8,-0.4,9.2,Kamala Harris,55.56,2024-07-18
Emerson,2.8,-0.6,6.1,Kamala Harris,42.03,2024-08-14
Echelon Insights,2.7,-0.1,5.6,Donald Trump,50.99,2024-08-26
Ipsos,2.8,-1.4,5.1,Kamala Harris,56.75,2024-09-29
YouGov Blue,3,-0.1,4.6,Donald Trump,51.97,2024-09-17
U. North Florida,2.8,-0.6,6,Donald Trump,40.11,2024-08-08
CNN/SSRS,3,-0.6,6.5,Donald Trump,49.16,2024-08-10
Muhlenberg,2.9,-0.3,7.8,Donald Trump,46.55,2024-08-07
Siena,2.9,-1.3,6.6,Donald Trump,46.18,2024-07-16
Ipsos,2.7,-0.5,5.7,Donald Trump,43.92,2024-08-08
Ipsos,2.7,-1.2,8.9,Kamala Harris,54.77,2024-07-22
Washington Post/George Mason University,3,-1.5,5.8,Donald Trump,43.93,2024-07-12
Washington Post/George Mason University,2.9,-0,6,Kamala Harris,53.25,2024-08-28
Ipsos,2.8,-0.8,5.6,Kamala Harris,50.07,2024-08-23
Marquette Law School,2.8,-0.7,4.8,Donald Trump,45.74,2024-07-04
Siena,2.8,-0.3,6.3,Kamala Harris,49.31,2024-07-27
SurveyUSA/High Point University,3,-1,8.6,Kamala Harris,54.82,2024-08-30
YouGov Blue,2.9,-0.5,8.8,Donald Trump,52.99,2024-07-21
AtlasIntel,3,-0.5,5.7,Donald Trump,55.14,2024-08-30
Data Orbital,2.9,-1,5.5,Kamala Harris,51.11,2024-09-03
Siena,2.8,-1.4,7.9,Donald Trump,49.03,2024-09-14
Beacon/Shaw,3,-0.3,5.5,Kamala Harris,38.86,2024-09-06
Selzer,2.9,-1,6.8,Kamala Harris,53.9,2024-07-12
SurveyUSA/High Point University,2.8,-0.2,7.3,Donald Trump,41.9,2024-07-18
Siena/NYT,3,-1.2,6.3,Kamala Harris,42.92,2024-08-17
Marquette Law School,2.8,-0.2,9,Donald Trump,51.35,2024-09-06
Marist,3,-1.5,7.9,Donald Trump,53.17,2024-08-12
Washington Post/George Mason University,2.7,-1.2,6.2,Kamala Harris,50.1,2024-08-23
Emerson,2.9,-0.5,8.3,Kamala Harris,57.66,2024-09-23
Data Orbital,2.7,-0.4,8.5,Donald Trump,52.98,2024-08-24
McCourtney Institute/YouGov,2.8,-1.1,5.5,Donald Trump,46.05,2024-09-07
Siena,2.9,-0.5,9.6,Donald Trump,44.52,2024-09-08
Selzer,2.9,-0.6,6.6,Donald Trump,57.62,2024-08-02
Siena/NYT,2.7,-0.6,5.7,Donald Trump,49.94,2024-08-16
CNN/SSRS,2.9,-0.3,9.2,Kamala Harris,48.04,2024-08-28
Marquette Law School,2.8,-0.5,7.7,Donald Trump,55.94,2024-09-29
MassINC Polling Group,2.8,-0.8,6.7,Kamala Harris,46.59,2024-09-11
Beacon/Shaw,2.7,-0.6,8.3,Donald Trump,48.73,2024-09-19
Beacon/Shaw,2.7,-0.2,4.9,Donald Trump,44.39,2024-09-18
MassINC Polling Group,2.9,-0,6.9,Kamala Harris,53.47,2024-08-16
Echelon Insights,2.9,-1.2,5.2,Kamala Harris,47.2,2024-08-29
MassINC Polling Group,3,-0.5,6,Kamala Harris,39.21,2024-08-26
Selzer,2.8,-0.7,8.8,Donald Trump,44.45,2024-08-11
U. North Florida,3,-1.1,5.5,Kamala Harris,50.01,2024-07-31
AtlasIntel,2.8,-1.3,6.3,Donald Trump,45.37,2024-08-18
Suffolk,2.9,-0.2,9.2,Donald Trump,52.05,2024-08-05
McCourtney Institute/YouGov,2.9,-0.1,7.7,Kamala Harris,51.38,2024-07-12
Emerson,2.8,-0.4,8.9,Donald Trump,42.41,2024-09-13
The Washington Post,3,-0.3,9.6,Kamala Harris,47.04,2024-09-07
YouGov Blue,2.8,-0.8,9.5,Kamala Harris,54.1,2024-08-02
Muhlenberg,2.9,-1.3,9.3,Kamala Harris,50.8,2024-08-09
McCourtney Institute/YouGov,2.7,-0.6,8.7,Donald Trump,52.43,2024-08-27
Washington Post/George Mason University,2.8,-0.4,7.5,Donald Trump,42.13,2024-07-21
Suffolk,2.7,-1.3,9.4,Kamala Harris,51.84,2024-08-17
MassINC Polling Group,2.8,-0.5,6.6,Kamala Harris,57.23,2024-09-07
Suffolk,2.9,-1.2,5.8,Donald Trump,56.6,2024-08-02
AtlasIntel,2.9,-0.4,7.9,Kamala Harris,48.88,2024-09-26
AtlasIntel,2.9,-0,9.5,Kamala Harris,56.24,2024-07-28
YouGov,2.8,-0,6,Kamala Harris,54.94,2024-08-26
University of Massachusetts Lowell/YouGov,3,-0.7,6.8,Kamala Harris,58.15,2024-08-30
SurveyUSA,2.9,-1.2,7.6,Kamala Harris,53.92,2024-08-20
U. North Florida,2.9,-0.5,6.9,Kamala Harris,41.8,2024-07-16
SurveyUSA,2.9,-0.6,9.2,Donald Trump,53.1,2024-08-12
YouGov Blue,2.8,-0.8,8.1,Donald Trump,38.08,2024-07-11
Christopher Newport U.,3,-0.3,6,Donald Trump,57.48,2024-07-20
Siena/NYT,2.7,-1.2,5,Kamala Harris,57.07,2024-08-08
Washington Post/George Mason University,2.7,-0.8,9.1,Kamala Harris,50.73,2024-09-01
YouGov,2.9,-1.4,5.8,Kamala Harris,41.14,2024-07-28
YouGov Blue,2.9,-1,9,Kamala Harris,54.96,2024-08-01
Washington Post/George Mason University,2.7,-1.1,9,Kamala Harris,54.57,2024-08-26
University of Massachusetts Lowell/YouGov,2.8,-0.5,8.7,Donald Trump,57,2024-08-11
MassINC Polling Group,2.9,-1,4.7,Kamala Harris,50.36,2024-08-29
Washington Post/George Mason University,2.9,-0.3,8.6,Donald Trump,50.09,2024-09-18
YouGov/Center for Working Class Politics,2.7,-0.6,6.3,Kamala Harris,58.52,2024-08-14
SurveyUSA/High Point University,2.7,-1.3,6.3,Donald Trump,51.23,2024-07-26
SurveyUSA,2.7,-0.2,8.3,Kamala Harris,42.69,2024-09-09
Selzer,3,-0.8,9,Donald Trump,52.85,2024-09-10
MassINC Polling Group,2.9,-0.9,5.1,Kamala Harris,51.02,2024-08-19
Marquette Law School,2.8,-0.9,8.3,Kamala Harris,54.34,2024-07-02
Beacon/Shaw,2.8,-0,6.5,Donald Trump,54.18,2024-08-27
Quinnipiac,2.8,-0.7,4.5,Donald Trump,51.03,2024-07-23
Emerson,2.9,-0.9,9.5,Donald Trump,53.7,2024-07-10
Washington Post/George Mason University,2.9,-0.1,8,Kamala Harris,50.07,2024-07-16
SurveyUSA/High Point University,2.9,-0.3,4.7,Donald Trump,58.88,2024-08-21
Muhlenberg,2.8,-1.2,8.4,Donald Trump,44.09,2024-09-09
SurveyUSA,2.7,-1.2,6.6,Kamala Harris,52.1,2024-08-06
Christopher Newport U.,2.9,-0.8,7.9,Donald Trump,38.05,2024-09-29
SurveyUSA,2.8,-1.1,7.8,Donald Trump,51.11,2024-09-12
Quinnipiac,2.9,-1.4,7.1,Donald Trump,48.14,2024-09-18
Ipsos,2.9,-1,9,Kamala Harris,45.92,2024-07-11
U. North Florida,2.8,-1.1,8.5,Donald Trump,43.7,2024-07-19
Washington Post/George Mason University,2.9,-0.7,8.8,Kamala Harris,40.9,2024-08-26
Siena,2.9,-0.8,6.1,Kamala Harris,50.67,2024-08-18
AtlasIntel,2.9,-1.4,7.5,Kamala Harris,41.81,2024-08-05
SurveyUSA/High Point University,2.8,-1,9.5,Donald Trump,51.37,2024-09-19
The Washington Post,2.8,-1.5,6.7,Kamala Harris,45.17,2024-09-23
Christopher Newport U.,2.9,-1.1,8.2,Donald Trump,54.88,2024-08-25
Marquette Law School,2.7,-0.1,9.2,Kamala Harris,54.01,2024-08-01
Siena/NYT,2.8,-0.5,6.3,Donald Trump,46.49,2024-07-19
SurveyUSA/High Point University,2.9,-0.1,6.9,Kamala Harris,56.04,2024-09-05
Beacon/Shaw,2.7,-0.8,8.9,Kamala Harris,61.56,2024-09-26
YouGov Blue,2.8,-0.3,9.6,Kamala Harris,54.96,2024-08-09
YouGov,2.9,-1.1,9.5,Kamala Harris,53.63,2024-09-29
SurveyUSA,2.8,-0.7,9.8,Donald Trump,45.02,2024-08-06
